Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-07-02,2506.47,803747008,41167015221,8924.718,287.99,41.57,-1.2785330592216797,-1.2548865295025222,-0.8028406135467874,-0.5623697843249837,-1.0679133373711769,803.747008,4116.7015221
2017-07-03,2564.06,964112000,42118211083,8924.718,282.9,46.43,-1.262346120754611,-1.238349348590938,-0.7304387930711183,-0.5819065758830146,-1.0269171062852211,964.112,4211.8211083
2017-07-04,2601.64,985516032,42740618673,8924.718,273.3,55.33,-1.25175432387738,-1.2275581129830662,-0.5978510971383086,-0.6187539627115205,-1.0214453095351974,985.516032,4274.0618673
2017-07-05,2601.99,941566016,42751085999,8924.718,268.77,53.19,-1.2515761965655974,-1.2274576091921465,-0.6297317341378831,-0.636141323371222,-1.0326808353796875,941.566016,4275.1085999
2017-07-06,2608.56,761956992,42863758795,8924.718,270.55,51.13,-1.2496587916560242,-1.2255710094597434,-0.6604205716234547,-0.629309203730103,-1.078596673750614,761.956992,4286.3758795
2017-07-07,2518.66,917411968,41391217675,8924.718,245.99,46.58,-1.2747177027088443,-1.25138612604164,-0.7282041689823631,-0.7235771016996975,-1.0388556552148625,917.411968,4139.1217675
2017-07-08,2571.34,733329984,42262222823,8924.718,251.7,52.14,-1.2598954065883254,-1.236258869739812,-0.6453741027591696,-0.70166058307565915,-1.0859149757106048,733.329984,4226.2222823
2017-07-09,2518.44,527856000,41397076604,8924.718,242.14,49.58,-1.2746179986131951,-1.2514492998530748,-0.6835116872072587,-0.738354439125713,-1.1384430170565363,527.856,4139.7076604
2017-07-10,2372.56,1111200000,39005033499,8924.718,215.36,46.58,-1.3153244988178934,-1.2933392799083263,-0.7282041689823631,-0.8411432952993995,-0.9893150488612977,1111.2,3900.5033499
2017-07-11,2337.79,1329760000,38438497236,8924.718,197.4,45.33,-1.3249655075679336,-1.3033236136519584,-0.7468260363886566,-0.9100786148243961,-0.9334416555826297,1329.76,3843.8497236
2017-07-12,2398.84,1117410048,39447604438,8924.718,230.77,48.75,-1.3077930651320455,-1.2857928809787127,-0.6958766071650375,-0.7819955629007247,-0.9877274918783941,1117.410048,3944.7604438
2017-07-13,2357.9,835769984,38778935907,8924.718,209.73,46.33,-1.3191721057676977,-1.297548952979412,-0.7319285424636218,-0.8627527523665337,-1.0597268790439378,835.769984,3877.8935907
2017-07-14,2233.34,882502976,36734255488,38049.992,199.66,42.8,-1.3539673750170642,-1.3333168163992233,-0.7845166960189947,-0.901404125841852,-1.0477799041120892,882.502976,3673.4255488
2017-07-15,1998.86,993608000,32880721300,38049.992,170.65,38.92,-1.419544742701094,-1.4006486132415272,-0.8423189724481296,-1.0127523229142434,-1.0193766523680012,993.608,3288.07213
2017-07-16,1929.82,1182870016,31748939343,38049.992,157.36,40.91,-1.4388047979935736,-1.4204737038846211,-0.8126729595373104,-1.0637629240549564,-0.970993091548631,1182.870016,3174.8939343
2017-07-17,2228.41,1201760000,36665393517,38049.992,193.42,42.67,-1.3551392309216457,-1.3347324840827466,-0.7864533702292491,-0.9253549272803809,-0.9661639942524206,1201.76,3666.5393517
